FishCode,FishDesc,Consigned,Sold,LowPrice,AvgPrice,HighPrice,MonthNum,YearNum,FishGroup
HDDL,Haddock | large,4663.0,4650,0.0,2.96,7.07,12,2013,Haddock
HDDP,Haddock | snapper,615.0,615,1.46,1.52,1.68,12,2013,Haddock
PADM,"Pollock, Atl | medium",151428.0,144445,0.61,0.93,1.94,12,2013,Pollock
CADS,Cod | scrod,4577.0,4574,0.0,1.88,2.84,12,2013,Cod
FADS,"Halibut, Atlantic | 10-50",35.0,35,12.01,12.01,12.01,12,2013,Halibut
HWSS,"Hake, white | small",2382.0,2361,0.0,0.84,1.3,12,2013,Hake
FYWL,Yellowtail | large,25.0,25,1.81,1.83,1.9,12,2013,Yellowtail
FYWS,Yellowtail | small,182.0,182,1.13,1.93,2.95,12,2013,Yellowtail
HWSJ,"Hake, white | sow",3333.0,3333,2.05,2.94,5.27,12,2013,Hake
PADS,"Pollock, Atl | small",54117.0,51948,0.0,0.81,1.72,12,2013,Pollock
HWSM,"Hake, white | medium",8678.0,8668,0.0,1.17,2.58,12,2013,Hake
CADL,Cod | large,5976.0,5976,3.09,4.25,6.26,1,2012,Cod
CADM,Cod | market,9535.0,9535,2.27,2.7,3.24,1,2012,Cod
